TesPlan,Res_TestName,Analyte,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD
4CU12501/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321 (C)
4FQ51801/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4FQ51801/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321C
4FQ51801/BL_Sani_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OX12401/,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.055,0.065,NPTM 3005/2000
4OM30401/BL_Sani_08I,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.049,0.059,NPTM 3005/2000
4OP19701/BL_NY_Unilever Simple Core Cleansing_01,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Dehydroacetic Acid,,%,"FDA,3",0.052,0.071,TM 394
4OP63801/BL_Sani_08I,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.049,0.059,NPTM 3005/2000
4DH24701/BL_NY_Bleach_01A(Bleach-chlorine_Colorless_Clear),% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.049,0.059,NPTM 3005/2000
4AP19701/BL_NY_Unilever Simple Core Cleansing_02,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Dehydroacetic Acid,,%,"FDA,3",0.052,0.071,TM 394
4OP19701/BL_NY_Avon Solutions,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Dehydroacetic Acid,,%,"FDA,3",0.052,0.071,TM 394
4OX41101/,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.055,0.065,NPTM 3005/2000
4AP19701/BL_MUR_04AA,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Dehydroacetic Acid,,%,"FDA,3",0.052,0.071,TM 394
4CU12501/BL_NY_MedWipe_04AA,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.055,0.065,NPTM 3005/2000
4FQ51801/BL_MedWipe_04A,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.055,0.065,NPTM 3005/2000
4APER02/BL_NY_Grime Boss_02,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Dehydroacetic Acid,,%,"FDA,3",0.056,0.069,TM 394
4CA81001/BL_MedWipe_03A,% Bronopol & IPBC,Bronopol,,%,"FDA,2",0.08,0.12,TM 321
4CA81001/BL_MedWipe_03A,% Bronopol & IPBC,Bronopol_Final,,%,"FDA,2",0.08,0.12,TM 321
4BJ14101/BL_MedWipe_01A,% Bronopol & IPBC,Bronopol,,%,"FDA,2",0.08,0.12,TM 321
4BJ14101/BL_MedWipe_01A,% Bronopol & IPBC,Bronopol_Final,,%,"FDA,2",0.08,0.12,TM 321
4OP23001/BL_NY_NEUT_05D,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,2",0.08,0.11,J&J TM-003725
4OP23001/BL_NY_NEUT_05D,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,2",0.08,0.11,J&J TM-003725
4AD23901/BL_Baby_01A,% Bronopol & IPBC,Bronopol,,%,"FDA,3",0.08,0.12,TM 321
4AD23901/BL_Baby_01A,% Bronopol & IPBC,Bronopol_Final,,%,"FDA,3",0.08,0.12,TM 321
4OP19701/BL_NY_Unilever Simple Core Cleansing_01,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Benzoic Acid,,%,"FDA,3",0.105,0.128,TM 394
4AP19701/BL_NY_Unilever Simple Core Cleansing_02,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Benzoic Acid,,%,"FDA,3",0.105,0.128,TM 394
4OP34501/BL_NY_BZK AntiBac_02,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,3",0.115,0.125,TM 1001/434
4OP35101/BL_NY_BZK AntiBac_02,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,3",0.115,0.125,TM 1001/434
4OP34501/BL_NY_BZK AntiBac_02,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,3",0.115,0.125,TM 1001/434
4OP35101/BL_NY_BZK AntiBac_02,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,3",0.115,0.125,TM 1001/434
4APER02/BL_NY_Grime Boss_02,% Benzoic Acid Phenoxyethanol & Dehydroacetic Acid,Benzoic Acid,,%,"FDA,3",0.109,0.147,TM 394
4OJ12301/BL_NY_Cetaphil_01B,% Methylparaben,Methylparaben,,%,"FDA,3",0.135,0.195,TM 396
4OJ12301/BL_NY_Cetaphil_01B,% Methylparaben,Final Methylparaben,,%,"FDA,3",0.135,0.195,TM 396
4AP44501/BL_NY_AntiBac_01D,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,2",0.15,0.19,TM 1001/434
4AP44501/BL_NY_AntiBac_01D,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,2",0.15,0.19,TM 1001/434
4FQ51801/BL_Sani_07C,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4FQ51801/BL_NY_AntiBac_01D,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,2",0.15,0.19,TM 1001/434
4FQ51801/BL_NY_AntiBac_01D,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,2",0.15,0.19,TM 1001/434
4BQ08401/BL_Sani_05A,% Dual Quat,Quat_Final,,%,"FDA,2",0.17,0.21,TM 434/1004
4BQ08401/BL_Sani_05A,% Dual Quat,Quat,,%,"FDA,2",0.17,0.21,TM 434/1004
4FQ51801/BL_Sani_05A,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,2",0.15,0.19,TM 1001/434
4FQ51801/BL_Misc_12A,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,2",0.15,0.19,TM 1001/434
4CU12501/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4CU12501/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4FQ51801/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OA70901/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4CU12501/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4CU12501/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OA70901/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4OA70901/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4BQ08401/BL_Sani_07C,% Dual Quat,Quat,,%,"FDA,2",0.17,0.21,TM 434/1004
4OP23001/BL_NY_NEUT_05D,% of Chlorphenesin,% Chlorphenesin_Final,,%,"FDA,2",0.16,0.22,J&J TM-003725
4OA70901/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4OP23001/BL_NY_NEUT_05D,% of Chlorphenesin,% Chlorphenesin,,%,"FDA,2",0.16,0.22,J&J TM-003725
4CU12501/BL_Basis MUR_01,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4DA16001/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4DA16001/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4AA27601/BL_Sani_07C,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4AA27601/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4FQ51801/BL_Misc_06B,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OP44801/BL_AntiBac_01D,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,3",0.189,0.231,TM 1001/434
4FQ51801/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OP44801/BL_AntiBac_01D,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,3",0.189,0.231,TM 1001/434
4FQ51801/BL_Sani_07C,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,3",0.16,0.24,TM 321C
4FQ51801/BL_Sani_05A,% Dual Quat,Quat_Final,,%,"FDA,2",0.17,0.21,TM 434/1004
4FQ51801/BL_MedWipe_04A,% Dual Quat,Quat,,%,"FDA,2",0.17,0.21,TM 434/1004
4AA27601/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4CU12501/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4CU12501/BL_Sani_07C,% Diazolidinyl Urea & Methylparaben & Propylparabe,Methylparaben_Final,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4CU12501/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4CU12501/BL_Basis MUR_01,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,2",0.16,0.24,TM 321 (C)
4AA27601/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OP63801/BL_Sani_08I,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4OP63801/BL_Sani_08I,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4DA16001/BL_Basis MUR_01,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4DA16001/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4XD35101/,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,3",0.228,0.252,TM 434
4XD35101/,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,3",0.228,0.252,TM 434
4FQ51801/BL_Sani_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4FQ51801/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea_Final,,% w/w,"FDA,3",0.16,0.24,TM 321C
4FQ51801/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Diazolidinyl_Urea,,% w/w,"FDA,3",0.16,0.24,TM 321C
4OC22301/BL_NY_Sterile Wipe Solution,% Total Chlorides,% Total Chlorides (calc),,%,"FDA,3",0.765,0.945,TM 312
4BQ89001/BL_Sani_04A,% Dual Quat,Quat,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4BQ89001/BL_Sani_04A,% Dual Quat,Quat_Final,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4AU55501/BL_NY_Prep H Pain Relief Wipes,Phenylephrine HCL (%w/w),% Phenylephrine HCL_Final,,%,"FDA,3",0.25,0.275,Pfizer A7552.02
4AU55501/BL_NY_Prep H Pain Relief Wipes,Phenylephrine HCL (%w/w),% Phenylephrine HCL,,%,"FDA,3",0.25,0.275,Pfizer A7552.02
4CD50101/BLR_BZK_06A,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,3",0.33,0.38,TM 434
4CD50101/BLR_BZK_06A,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,3",0.33,0.38,TM 434
4BQ89001/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4CA89001/BL_Sani_04A,% Dual Quat,Quat,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4CA89001/BL_Sani_04A,% Dual Quat,Quat_Final,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4FQ51801/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4FQ51801/BL_Sani_07C,% Dual Quat,Quat,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4FQ51801/BL_Sani_04A,% Dual Quat,Quat_Final,,%,"FDA,2",0.25,0.29,TM 234/TM 434
4OQ59401/BL_NY_AntiBac_01A(Citrus-Alcohol_NC-Slt.Yellow_Clear-Cloudy),% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,2",0.28,0.32,TM 1001/434
4OQ59401/BL_NY_AntiBac_01A(Citrus-Alcohol_NC-Slt.Yellow_Clear-Cloudy),% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,2",0.28,0.32,TM 1001/434
4OC22301/BL_NY_Sterile Wipe Solution,% Total Chlorides,% Total Chlorides Final (calc),,%,"FDA,3",0.765,0.945,TM 312
4OJ12301/BL_NY_Cetaphil_01B,% Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.37,0.45,TM 396
4OJ12301/BL_NY_Cetaphil_01B,% Phenoxyethanol,Phenoxyethanol Final,,%,"FDA,2",0.37,0.45,TM 396
4OJ12301/BL_Sani_01B,% Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.37,0.45,TM 396
4OU16501/BL_Sani_08E,% Dual Quat,Quat,,%,"FDA,2",0.4,0.43,TM 434/1004
4OU16501/BL_Sani_08E,% Dual Quat,Quat_Final,,%,"FDA,2",0.4,0.43,TM 434/1004
4OA34701/BL_NY_Summers Eve Period Feminine_02,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate,,%,"FDA,2",0.42,0.52,TM 395
4ABBY23/BL_NY_Natural Baby w/Vit E,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate,,%,"FDA,3",0.423,0.517,TM 395
4OA34701/BL_NY_Summers Eve Period Feminine_02,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate_Final,,%,"FDA,2",0.42,0.52,TM 395
4ABBY23/BL_NY_Natural Baby w/Vit E,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate_Final,,%,"FDA,3",0.423,0.517,TM 395
4AMTT03/BL_NY_MTT/Toddler Red. Surfactants,% Sodium Benzoate,Sodium Benzoate,,%,"FDA,3",0.423,0.517,TM 395
4AMTT03/BL_NY_MTT/Toddler Red. Surfactants,% Sodium Benzoate,Sodium Benzoate Final,,%,"FDA,3",0.423,0.517,TM 395
4OX50101/,% Benzalkonium Chloride,Benzalkonium_Chloride,,%,"FDA,3",0.465,0.535,TM 434
4OX50101/,% Benzalkonium Chloride,Benzalkonium_Chloride_Final,,%,"FDA,3",0.465,0.535,TM 434
4OA92201/BL_NY_Baby Dove Sensitive Moisture_01,% Phenoxyethanol & Sodium Benzoate,Phenoxyethanol,,%,"FDA,2",0.45,0.55,TM 395
4OA91101/BL_NY_Baby Dove Rich Moisture_01,% Phenoxyethanol & Sodium Benzoate,Phenoxyethanol_Final,,%,"FDA,2",0.45,0.55,TM 395
4OA91101/BL_NY_Baby Dove Rich Moisture_01,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate_Final,,%,"FDA,2",0.45,0.55,TM 395
4OA92201/BL_NY_Baby Dove Sensitive Moisture_01,% Phenoxyethanol & Sodium Benzoate,Phenoxyethanol_Final,,%,"FDA,2",0.45,0.55,TM 395
4OA91101/BL_NY_Baby Dove Rich Moisture_01,% Phenoxyethanol & Sodium Benzoate,Phenoxyethanol,,%,"FDA,2",0.45,0.55,TM 395
4OA92201/BL_NY_Baby Dove Sensitive Moisture_01,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate,,%,"FDA,2",0.45,0.55,TM 395
4OA91101/BL_NY_Baby Dove Rich Moisture_01,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate,,%,"FDA,2",0.45,0.55,TM 395
4AU55501/BL_NY_Prep H Pain Relief Wipes,% Sodium Benzoate,Sodium Benzoate,,%,"FDA,2",0.46,0.55,Pfizer A7553.01
4AU55501/BL_NY_Prep H Pain Relief Wipes,% Sodium Benzoate,Sodium Benzoate Final,,%,"FDA,2",0.46,0.55,Pfizer A7553.01
4OA92201/BL_NY_Baby Dove Sensitive Moisture_01,% Phenoxyethanol & Sodium Benzoate,Sodium_Benzoate_Final,,%,"FDA,2",0.45,0.55,TM 395
4DP02701/BL_NY_NEUT_08AA,% Salicylic Acid,Salicylic_Acid,,%,"FDA,2",0.45,0.55,TM 891
4DP02701/BL_NY_NEUT_08AA,% Salicylic Acid,Salicylic_Acid_Final,,%,"FDA,2",0.45,0.55,TM 891
4OP63801/BL_Sani_08H,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4AA27601/BL_Sani_08I,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4AP63801/BL_Sani_08H,% Dual Quat,Quat,,%,"FDA,2",0.55,0.57,TM 434/1004
4FQ51801/BL_Sani_04A,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OB35301/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OB35301/BL_Misc_12A,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP38301/BL_Sani_08I,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4AA27601/BL_Sani_08I,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4OP38301/BL_Sani_11A,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4OP38301/BL_Sani_08I,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4AD74801/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4AD74801/BL_Misc_06B,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OX41101/,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OX41101/,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP63801/BL_Sani_11A,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4AA27601/BL_Misc_01I,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4AP63801/BL_Sani_08H,% Dual Quat,Quat_Final,,%,"FDA,2",0.55,0.57,TM 434/1004
4OM30401/BL_Sani_08I,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4OM30401/BL_Sani_08I,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4OP72301/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP72301/BL_Sani_07C,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4AA27601/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4AA27601/BL_MedWipe_04A,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4BQ89001/BL_Sani_07C,% Dual Quat,Quat_Final,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4BQ89001/BL_Sani_07C,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4OP63001/BL_NEUT_05C,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4OP63001/BL_NEUT_05C,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
4FQ51801/BL_MedWipe_04A,% Dual Quat,Quat,,%,"FDA,2",0.48,0.56,TM 234/TM 434
4CP30801/BL_NY_Aveeno MUR_01,% Benzoic Acid & Phenoxyethanol,Phenoxyethanol,,%,"FDA,2",0.53,0.71,J&J TM-003725
4AP63801/BL_Sani_08H,% Dual Quat,Quat_Final,,%,"FDA,2",0.51,0.53,TM 434/1004
4AP63801/BL_NY_Grime Boss_02,% Dual Quat,Quat,,%,"FDA,2",0.51,0.53,TM 434/1004
