Mat_MatCode,SP_TestPlan,PLAN.ACTIVE,ITEM_DESCRIPTION,Test_Lab,Res_TestCode,Res_TestName,Analyte.C,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD,METHOD.C,DISPLAY_AS,Facility Name,FACILITY_DESCRIPTION,SAMPLE_PLAN
3OP134,"Applicator_NY_35gsm Stora Flat - 30""","3OP134\Applicator_NY_35gsm Stora Flat - 30""","Stora Flat - 30"" 35 GSM",NY-Analytical,757,Caliper,Caliper,0.008,in,"FDA,4",0.006,0.009,TM 102,TM102,"3OP134 - Stora Flat - 30"" 35 GSM",NY ,RAW MATERIAL - NY                                 ,RM_APPLICATOR
3XP134,"Applicator_NY_35gsm Stora Flat - 36""","3XP134\Applicator_NY_35gsm Stora Flat - 36""","Stora Flat - 36"" 35 GSM",NY-Analytical,884,Applicator_Inspection,Caliper,0.0082,in,"FDA,3",0.006,0.009,See Analyte for Method #,See_Analyte_for_Method,"3XP134 - Stora Flat - 36"" 35 GSM",NY ,RAW MATERIAL - NY                                 ,RM_APPLICATOR
7A4AS162,Chem_09A,7A4AS162\Chem_09A,Glycerin USP,NY-Analytical,816,Related Compounds,Individual Impurity,0.01,%,"FDA,3",,0.1,USP <621>,USP_621,7A4AS162 - Glycerin USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7C4OP230,MASTER - Microbiology - J&J Chemical Testing),7C4OP230\MASTER - Microbiology - J&J Chemical Testing),Cetiol Cc,NY-Analytical,826,Acid Value,Acid Value,0.01,,"FDA,2",0,0.2,J&J TMWW78011,J&J,7C4OP230 - Cetiol Cc,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7L4OP203,Chem_NY_Glycerin - RI-0420,7L4OP203\Chem_NY_Glycerin - RI-0420,Glycerin - Ri-0420,NY-Analytical,825,Limit of Ethylene Glycol and Diethylene Glycol,Individual Impurity,0.01,%,"FDA,1",,0.1,USP,USP,7L4OP203 - Glycerin - Ri-0420,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7O4OS407,Chem_173A,7O4OS407\Chem_173A,"20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY-Analytical,975,Organic Impurities Part II,Specified unidentified impuritv 1,0.011,%,"FDA,1",,0.2,USP,USP,"7O4OS407 - 20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
2BQ471LI,Lid_04F_560,2BQ471LI\Lid_04F_560,Medium Deep Well With 560 Orifice Trans Blue,NY-Analytical,765,Canister & Lid Inspection,Pop-Up Hole Thicknes,0.015,in,"FDA,3",0.015,0.025,TM 143 / Visual,TM143,2BQ471LI - Medium Deep Well With 560 Orifice Trans Blue,NY ,RAW MATERIAL - NY                                 ,RM_LID
5CC80100,Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625,5CC80100\Box_NY_0.016UCSBS_100_5.0625-1.75-3.0625,Philips Sali-Wipes  Sterile Saline Wipes.,NY-Analytical,772,Box Inspection,Caliper,0.015,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5CC80100 - Philips Sali-Wipes  Sterile Saline Wipes.,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5EH21130,Box_NY_0.016SBS_100_4.75-2.375-3.25,5EH21130\Box_NY_0.016SBS_100_4.75-2.375-3.25,CVS Total Home Antibac. Wipes 30Ct.  Box,NY-Analytical,772,Box Inspection,Caliper,0.015,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5EH21130 - CVS Total Home Antibac. Wipes 30Ct.  Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5GB10300,Box_NY_0.016UCSBS_100_6.125-2.750-2.375,5GB10300\Box_NY_0.016UCSBS_100_6.125-2.750-2.375,PDI CHG Prep Pad Box,NY-Analytical,772,Box Inspection,Caliper,0.015,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5GB10300 - PDI CHG Prep Pad Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5JB16400,Box_NY_0.016UCSBS_100_4-3.125-2.375,5JB16400\Box_NY_0.016UCSBS_100_4-3.125-2.375,PDI Adhesive Tape Remover,NY-Analytical,772,Box Inspection,Caliper,0.015,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5JB16400 - PDI Adhesive Tape Remover,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AU44410,Box_NY_0.016SBS_124_2.9375-1.875-3.8125,5AU44410\Box_NY_0.016SBS_124_2.9375-1.875-3.8125,Prep H Totables 10Ct.  Box,NY-Analytical,772,Box Inspection,Caliper,0.0155,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5AU44410 - Preparation H Totables 10Ct.  Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AU57314,Box_NY_0.016CCSBS_100_3-2.5-4,5AU57314\Box_NY_0.016CCSBS_100_3-2.5-4,Summer's Eve Fresh Cycle Cleansing Cloths,NY-Analytical,772,Box Inspection,Caliper,0.0155,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5AU57314 - Summer's Eve Fresh Cycle Cleansing Cloths,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5BU55510,Box_NY_0.016BMPB_124_2.9375-1.875-3.8125,5BU55510\Box_NY_0.016BMPB_124_2.9375-1.875-3.8125,Prep H Rapid Relief W/Lidocaine Totables,NY-Analytical,772,Box Inspection,Caliper,0.0155,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5BU55510 - Preparation H Rapid Relief W/Lidocaine Totables,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5CB51200,Box_NY_0.016UCSBS_100_6.125-2.75-2.375,5CB51200\Box_NY_0.016UCSBS_100_6.125-2.75-2.375,Povidone-Iodine Prep Pad,NY-Analytical,772,Box Inspection,Caliper,0.0155,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5CB51200 - Povidone-Iodine Prep Pad,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5MS48050,Box_NY_0.016UCSBS_100_6.5-3.125-5.8125,5MS48050\Box_NY_0.016UCSBS_100_6.5-3.125-5.8125,Povidone-Iodine Cleansing Scrub Box,NY-Analytical,772,Box Inspection,Caliper,0.0155,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5MS48050 - Povidone-Iodine Cleansing Scrub Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5NB40600,Box_NY_0.016UCSBS_100_5.125-2.25-2.09375,5NB40600\Box_NY_0.016UCSBS_100_5.125-2.25-2.09375,Povidone-Iodine Prep Med,NY-Analytical,772,Box Inspection,Caliper,0.0155,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5NB40600 - Povidone-Iodine Prep Med,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5CD35185,Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625,5CD35185\Box_NY_0.016UCSBS_100_6.5-2.3125-6.0625,PDI Hygea BZK Antiseptic Towelette,NY-Analytical,772,Box Inspection,Caliper,0.016,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5CD35185 - PDI Hygea BZK Antiseptic Towelette,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5CS42050,Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125,5CS42050\Box_NY_0.016UCSBS_100_6.5-3.3125-5.8125,Povidone-Iodine Scrub 1'S Cda,NY-Analytical,772,Box Inspection,Caliper,0.016,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5CS42050 - Povidone-Iodine Scrub 1'S Cda,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5LB60302,Box_NY_0.016UCSBS_100_6.125-4-2.375,5LB60302\Box_NY_0.016UCSBS_100_6.125-4-2.375,PDI Alcohol Prep Pad,NY-Analytical,772,Box Inspection,Caliper,0.016,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5LB60302 - PDI Alcohol Prep Pad,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5OP067BT,Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375,5OP067BT\Box_NY_0.016SBSC1S_300_3.18-2.1875-2.4375,Pond's Original Fresh Twlts. 28Ct.  - Canada,NY-Analytical,772,Box Inspection,Caliper,0.016,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5OP067BT - Pond's Original Fresh Twlts. 28Ct.  - Canada,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5OP073BT,Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375,5OP073BT\Box_NY_0.016SBSC1S_300_3.125-2.1875-2.4375,Pond's Luminous Clean Twlts.,NY-Analytical,772,Box Inspection,Caliper,0.016,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5OP073BT - Pond's Luminous Clean Twlts.,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5OP092BT,Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875,5OP092BT\Box_NY_0.016SBSC1S_300_3.18-1.4375-2.6875,Pond's Original Fresh 15Ct.  Twlts.,NY-Analytical,772,Box Inspection,Caliper,0.016,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5OP092BT - Pond's Original Fresh 15Ct.  Twlts.,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5HC12400,Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625,5HC12400\Box_NY_0.016UCSBS_100_5.0625-4.25-3.0625,Povidone-Iodine Prep Pad,NY-Analytical,772,Box Inspection,Caliper,0.0169,in,"FDA,3",0.015,0.017,Box Inspection,Box Inspection,5HC12400 - Povidone-Iodine Prep Pad,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5BU37230,Box_NY_0.018SBS_101_3.8125-3.375-2.9375,5BU37230\Box_NY_0.018SBS_101_3.8125-3.375-2.9375,Harmon Smart Values Flushable Cleans Cloth.,NY-Analytical,772,Box Inspection,Caliper,0.017,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5BU37230 - Harmon Smart Values Flushable Cleans Cloth.,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5DH12824,Box_NY_0.018SBS_100_4-2.125-6.125,5DH12824\Box_NY_0.018SBS_100_4-2.125-6.125,CVS Health Instant Hand Sanitizer Wipes,NY-Analytical,772,Box Inspection,Caliper,0.017,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5DH12824 - CVS Health Instant Hand Sanitizer Wipes,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5QS41950,Box_NY_0.018SBS_100_6.625-4.125-8.125,5QS41950\Box_NY_0.018SBS_100_6.625-4.125-8.125,Prevantics Maxi Swabstick Box,NY-Analytical,772,Box Inspection,Caliper,0.017,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5QS41950 - Prevantics Maxi Swabstick Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AD02424,Box_NY_0.018SBS_107_4-2.03125-4.5,5AD02424\Box_NY_0.018SBS_107_4-2.03125-4.5,Wet Nap AntibaCt. erial Hand Wipes - Fresh,NY-Analytical,772,Box Inspection,Caliper,0.0175,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5AD02424 - Wet Nap AntibaCt. erial Hand Wipes - Fresh,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5CA284TR,Box_NY_0.018SBS_111_6-5.3125-3.6875,5CA284TR\Box_NY_0.018SBS_111_6-5.3125-3.6875,Prep H 48Ct. ,NY-Analytical,772,Box Inspection,Caliper,0.0175,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5CA284TR - Preparation H 48Ct. ,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5OD239PD,Box_51A,5OD239PD\Box_51A,"Pad 15-3/8"" X 5-1/2"" Group176",NY-Analytical,772,Box Inspection,Caliper,0.0175,in,"FDA,3",,,Box Inspection,Box Inspection,"5OD239PD - Pad 15-3/8"" X 5-1/2"" Group176",NY ,RAW MATERIAL - NY                                 ,RM_BOX
5PS40750,Box_NY_0.018SBS_100_7.125-3-6.625,5PS40750\Box_NY_0.018SBS_100_7.125-3-6.625,Prevantics Skin Swabstick 50Ct.  Box,NY-Analytical,772,Box Inspection,Caliper,0.0175,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5PS40750 - Prevantics Skin Swabstick 50Ct.  Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AB123ST,Box_NY_0.018SBS_107_10.25-2.375-2.75,5AB123ST\Box_NY_0.018SBS_107_10.25-2.375-2.75,Prevantics Device Swab Box,NY-Analytical,772,Box Inspection,Caliper,0.018,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5AB123ST - Prevantics Device Swab Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AH45016,Box_NY_0.018SBS_101_3.875-2-3.5,5AH45016\Box_NY_0.018SBS_101_3.875-2-3.5,CVS Health Cleansing Cloths 16Ct.  Box,NY-Analytical,772,Box Inspection,Caliper,0.018,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5AH45016 - CVS Health Cleansing Cloths 16Ct.  Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AU25206,Box_NY_0.018SBS_100_101.6-44.45-101.6,5AU25206\Box_NY_0.018SBS_100_101.6-44.45-101.6,L'Oreal Paris Sublime Bronze Self Tan Twlt,NY-Analytical,772,Box Inspection,Caliper,0.018,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5AU25206 - L'Oreal Paris Sublime Bronze Self Tan Twlt,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5BU71230,Box_NY_0.018SBS_122_4.6875-3-3.8125,5BU71230\Box_NY_0.018SBS_122_4.6875-3-3.8125,Prep H Rapid Relief Totables W/Lidocaine,NY-Analytical,772,Box Inspection,Caliper,0.018,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5BU71230 - Preparation H Rapid Relief Totables W/Lidocaine,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5CB19600,Box_NY_0.018SBS_100_5.125-2.25-2.09375,5CB19600\Box_NY_0.018SBS_100_5.125-2.25-2.09375,Prevantics Device Swab 100Ct.  Box,NY-Analytical,772,Box Inspection,Caliper,0.018,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5CB19600 - Prevantics Device Swab 100Ct.  Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AA347BT,Box_NY_0.020SBS_300_3.375-1.313-2.625,5AA347BT\Box_NY_0.020SBS_300_3.375-1.313-2.625,Summer's Eve Fresh Cycle Cleansing Cloths,NY-Analytical,772,Box Inspection,Caliper,0.019,in,"FDA,3",0.019,0.021,Box Inspection,Box Inspection,5AA347BT - Summer's Eve Fresh Cycle Cleansing Cloths,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AA617S96,Box_NY_0.018SBS_47B_3.625-3.875-6,5AA617S96\Box_NY_0.018SBS_47B_3.625-3.875-6,Prep H Medicated Wipes 96Ct.  Box,NY-Analytical,772,Box Inspection,Caliper,0.019,in,"FDA,3",0.017,0.019,Box Inspection,Box Inspection,5AA617S96 - Preparation H Medicated Wipes 96Ct.  Box,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AU252IN,Box_NY_0.020TBC_123_4.09375-3.625-4.3125,5AU252IN\Box_NY_0.020TBC_123_4.09375-3.625-4.3125,L'Oreal Paris Sublime Bronze Self Tan Twlts,NY-Analytical,772,Box Inspection,Caliper,0.019,in,"FDA,3",0.019,0.021,Box Inspection,Box Inspection,5AU252IN - L'Oreal Paris Sublime Bronze Self Tan Twlts,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AU31450,Box_NY_0.020SBS_169_6-3.125-5.9375,5AU31450\Box_NY_0.020SBS_169_6-3.125-5.9375,Prep H Totables Dispenser,NY-Analytical,772,Box Inspection,Caliper,0.019,in,"FDA,3",0.019,0.021,Box Inspection,Box Inspection,5AU31450 - Preparation H Totables Dispenser,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AA911TY,Box_NY_0.020SBS_105_4.5-7.9375-7.9375,5AA911TY\Box_NY_0.020SBS_105_4.5-7.9375-7.9375,Dove Baby Wipes Rich Moisture 30Ct. ,NY-Analytical,772,Box Inspection,Caliper,0.0195,in,"FDA,3",0.019,0.021,Box Inspection,Box Inspection,5AA911TY - Dove Baby Wipes Rich Moisture 30Ct. ,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5AH58195,Box_NY_0.020SBS_127_6.25-2.5625-4.625,5AH58195\Box_NY_0.020SBS_127_6.25-2.5625-4.625,Sani-Cloth Bleach,NY-Analytical,772,Box Inspection,Caliper,0.0195,in,"FDA,3",0.019,0.021,Box Inspection,Box Inspection,5AH58195 - Sani-Cloth Bleach,NY ,RAW MATERIAL - NY                                 ,RM_BOX
