Mat_MatCode,SP_TestPlan,Test_Lab,Analyte,Component,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD
2AA632,Web_NP8504_11.75,NY-Analytical,Dyne Level,Dyne Level (outside film),,,"FDA,0",36,38,Dyne
2AA632,Web_NP8504_11.75,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",53.3,65.1,TM 101
2AA632,Web_NP8504_11.75,NY-Analytical,Seal Strength,Seal Strength (350°F/30psi/0.5 dwell Top Jaw),,g/in,"FDA,0",2700,,TM107
2AA632,Web_NP8504_11.75,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AA714SLI,Lid_01V,NY-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AA714SLI,Lid_01V,NY-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AA714SLI,Lid_01V,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2AA714SLI,Lid_01V,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AA714SLI,Lid_01V,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AA714SLI,Lid_01V,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AA714SLI,Lid_01V,NY-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2AA922SLI,Lid_01V,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AD173,Web_NP5115_4.5,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",4.4375,4.5625,TM143
2AD173,Web_NP5115_4.5,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",55.6,68,TM 101
2AD173,Web_NP5115_4.5,NY-Analytical,Seal Strength,Seal Strength (325°F/40PSI/0.5ec Dwell),,g/in,"FDA,0",1500,,TM107
2AD173,Web_NP5115_4.5,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,AQL Sample Size,,,"FDA,0",0,,AQL
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AJ143SLI,Lid_NY_NP7600_01C,IN-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2AJ170,Web_NP8530_11.0,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",1.8,2.2,TM 132
2AJ170,Web_NP8530_11.0,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",10.9375,11.0625,TM143
2AJ170,Web_NP8530_11.0,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",29.4,37.42,TM 101
2AJ170,Web_NP8530_11.0,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2AJ170,Web_NP8530_11.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.025,0.035,TM143
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Overall closed lid height,,in,"FDA,3",0.355,0.385,Solo Lid Inspection
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Open Lid Overall Width,,in,"FDA,3",4.351,4.401,Solo Lid Inspection
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",10.5,12.5,TM143
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Functionality,Meet specification (Done),,,,,TM208
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Color,Meets the specification (Done),,,,,TM208
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AJ170SLI,Lid_NY_NP7600_22FA,NY-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.025,0.035,TM143
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Overall closed lid height,,in,"FDA,3",0.355,0.385,Solo Lid Inspection
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Open Lid Overall Width,,in,"FDA,3",4.351,4.401,Solo Lid Inspection
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",10.5,12.5,TM143
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Appearance,Meet specification (Done),,,,,TM208
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Functionality,Meet specification (Done),,,,,TM208
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Color,Meets the specification (Done),,,,,TM208
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AJ190SLI,Lid_NY_NP7600_22V,NY-Analytical,Lid Inspection,Odor,None detectable (Done),,,,,TM208
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.025,0.035,TM143
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Overall closed lid height,,in,"FDA,3",0.355,0.385,Solo Lid Inspection
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Open Lid Overall Width,,in,"FDA,3",4.351,4.401,Solo Lid Inspection
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",10.5,12.5,TM143
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Functionality,Meet specification (Done),,,,,TM208
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Color,Meets the specification (Done),,,,,TM208
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AJ324SLI,Lid_NY_NP7600_22X,NY-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2AP027,Web_NP8512_310,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,2",3.06,3.74,TM 132
2AP027,Web_NP8512_310,NY-Analytical,Web Measurement,Web Width,,mm,"FDA,0",308,312,TM143
2AP027,Web_NP8512_310,NY-Analytical,Seal Strength,Seal Strength (130°C/14psi/1.0 sec dwell),,g/in,"FDA,0",2000,,TM107
2AP027,Web_NP8512_310,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP027,Web_NP8512_310,NY-Analytical,Visual Inspection,Color/Copy,Meets specifications (Done),,,,,TM208
2AP075,Web_NP8542_12.205,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",12.1425,12.2675,TM143
2AP075,Web_NP8542_12.205,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",52.53,64.21,TM 101
2AP075,Web_NP8542_12.205,NY-Analytical,Seal Strength,Seal Strength (130°C/1bar/0.5ec dwell),,g/mm,"FDA,0",25,,TM107
2AP075,Web_NP8542_12.205,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP087,Web_NP8550_12.205,NY-Analytical,Web Inspection,Web Width,,in,"FDA,4",12.1425,12.2675,TM143
2AP087,Web_NP8550_12.205,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",37.8,48.2,TM 101
2AP087,Web_NP8550_12.205,NY-Analytical,Web Inspection,AQL Sample Size,,,"FDA,0",0,,AQL
2AP087,Web_NP8550_12.205,NY-Analytical,Web Inspection,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP087,Web_NP8550_12.205,NY-Analytical,Web Inspection,Wind Direction,Meets specification (Indicate numeric value - Done),,,,,TM208
2AP087,Web_NP8550_12.205,NY-Analytical,Visual Inspection,Artwork / Copy,Sample(s) all meet specifications (Done),,,,,TM208
2AP087,Web_NP8550_12.205,NY-Analytical,Web Inspection,UPC Verification,UPC Scan is acceptable (Scan into comment section below - Done),,,,,TM208
2AP087,Web_NP8550_12.205,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2AP113,Web_NP8542_11.0,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",10.9375,11.0625,TM143
2AP113,Web_NP8542_11.0,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",52.53,64.21,TM 101
2AP113,Web_NP8542_11.0,NY-Analytical,Seal Strength,Seal Strength (130°C/1bar/0.5ec dwell),,g/mm,"FDA,0",25,,TM107
2AP113,Web_NP8542_11.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP211,Web_NP8512_12.205,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,2",3.06,3.74,TM 132
2AP211,Web_NP8512_12.205,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",12.1425,12.2675,TM143
2AP211,Web_NP8512_12.205,NY-Analytical,Seal Strength,Seal Strength (130°C/14psi/1.0 sec dwell),,g/in,"FDA,0",2000,,TM107
2AP211,Web_NP8512_12.205,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP211,Web_NP8512_12.205,NY-Analytical,Visual Inspection,Color/Copy,Meets specifications (Done),,,,,TM208
2AP229,Web_NP8512_9.5,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,2",3.06,3.74,TM 132
2AP229,Web_NP8512_9.5,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",9.4375,9.5625,TM143
2AP229,Web_NP8512_9.5,NY-Analytical,Seal Strength,Seal Strength (130°C/14psi/1.0 sec dwell),,g/in,"FDA,0",2000,,TM107
2AP229,Web_NP8512_9.5,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP229,Web_NP8512_9.5,NY-Analytical,Visual Inspection,Color/Copy,Meets specifications (Done),,,,,TM208
2AP260,Web_NP8535_12.75,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",2.2,2.8,TM 132
2AP260,Web_NP8535_12.75,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",12.6875,12.8125,TM143
2AP260,Web_NP8535_12.75,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",35.82,45.6,TM 101
2AP260,Web_NP8535_12.75,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2AP260,Web_NP8535_12.75,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AP806,Web_NP8430_310,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,2",2.64,3.36,TM 132
2AP806,Web_NP8430_310,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",44.88,57.12,TM 101
2AP806,Web_NP8430_310,NY-Analytical,Web Measurement,Web Width,,mm,"FDA,0",308,312,TM143
2AP806,Web_NP8430_310,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2AP806,Web_NP8430_310,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AU191,Web_NP5115_7.5,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",7.4375,7.5625,TM143
2AU191,Web_NP5115_7.5,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",55.6,68,TM 101
2AU191,Web_NP5115_7.5,NY-Analytical,Seal Strength,Seal Strength (325°F/40PSI/0.5ec Dwell),,g/in,"FDA,0",1500,,TM107
2AU191,Web_NP5115_7.5,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AU252,Web_NP3459_8.0,,Caliper,Caliper,,mil,"FDA,3",3.515,3.515,TM102
2AU252,Web_NP3459_8.0,,Web Measurement,Web Width,,in,"FDA,4",7.9375,8.0625,TM143
2AU252,Web_NP3459_8.0,,Basis Weight,Basis Weight,,Lb/Ream,"FDA,2",57.56,70.4,TM 101
2AU252,Web_NP3459_8.0,NY-Analytical,Seal Strength,Seal Strength (290°F/40psi/0.5 sec dwell),,g/in,"FDA,0",7500,,TM107
2AU252,Web_NP3459_8.0,,Visual Inspection,Appearance,Meets specifications (Done),,,,,TM208
2AU252,Web_NP3459_8.0,,Visual Inspection,Color/Copy,Meets specifications (Done),,,,,TM208
2AU252,Web_NP3459_8.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,,,,,,COA
2AU555,Web_NP3460_7.5,NY-Analytical,Web Measurement,Core ID,,in,"FDA,4",2.9375,3.0625,TM143
2AU555,Web_NP3460_7.5,NY-Analytical,Caliper,Caliper,,mil,"FDA,4",3.995,3.995,TM102
2AU555,Web_NP3460_7.5,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",7.4375,7.5625,TM143
2AU555,Web_NP3460_7.5,NY-Analytical,Web Measurement,Roll OD,,in,"FDA,4",14.9375,15.0625,TM143
2AU555,Web_NP3460_7.5,NY-Analytical,Dyne Level,Dyne Level (outside film),,,"FDA,0",,,Dyne
2AU555,Web_NP3460_7.5,NY-Analytical,Basis Weight,Basis Weight,,Lb/Ream,"FDA,1",66.6,81.4,TM 101
2AU555,Web_NP3460_7.5,NY-Analytical,Seal Strength,Seal Strength (290°F/40psi/0.5 sec dwell),,g/in,"FDA,0",5850,,TM107
2AU555,Web_NP3460_7.5,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AU555,Web_NP3460_7.5,NY-Analytical,Visual Inspection,Appearance,Meets specifications (Done),,,,,TM208
2AU555,Web_NP3460_7.5,NY-Analytical,Visual Inspection,Color/Copy,Meets specifications (Done),,,,,TM208
2BA585SLI,Lid_19AB,NY-Analytical,Lid Inspection,Label Width,,mm,"FDA,0",52,56,TM143
2BA585SLI,Lid_19AB,NY-Analytical,Lid Inspection,Label Length,,mm,"FDA,0",71,75,TM143
2BA585SLI,Lid_19AB,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2BA585SLI,Lid_19AB,NY-Analytical,Certificate of Conformance,Certificate of Conformance,CoC meets specifications (Done),,,,,COA
2BA585SLI,Lid_19AB,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2BA585SLI,Lid_19AB,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2BA585SLI,Lid_19AB,NY-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2BA972,Web_NP8540_13.5,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,2",2.86,3.64,TM 132
2BA972,Web_NP8540_13.5,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",13.4375,13.5625,TM143
2BA972,Web_NP8540_13.5,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",45.4,57.8,TM 101
2BA972,Web_NP8540_13.5,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2BA972,Web_NP8540_13.5,NY-Analytical,Certificate of Analysis,Certificate of Analysis,,,,,,COA
2BC801,Web_NP3870_6.0,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",5.9375,6.0625,TM143
2BC801,Web_NP3870_6.0,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",81,99,TM 101
2BC801,Web_NP3870_6.0,NY-Analytical,Seal Strength,Seal Strength (350°F/40psi/1.0 sec dwell),,g/in,"FDA,0",5000,,TM107
2BC801,Web_NP3870_6.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2BH592,Web_NP3895_6.0,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",3.9,4.7,TM 132
2BH592,Web_NP3895_6.0,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",5.9375,6.0625,TM143
2BH592,Web_NP3895_6.0,NY-Analytical,Basis Weight,Basis Weight,,#/3000sqft,"FDA,1",65.3,79.8,TM 101
2BH592,Web_NP3895_6.0,NY-Analytical,Seal Strength,Seal Strength (250°F/30psi/0.5 sec dwell),,g/in,"FDA,0",2270,,TM107
2BH592,Web_NP3895_6.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2BJ123,Web_NP8550_11,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",10.9375,11.0625,TM143
2BJ123,Web_NP8550_11,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",37.8,48.2,TM 101
2BJ123,Web_NP8550_11,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2BJ123,Web_NP8550_11,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2BJ143,Web_NP8530_16.25,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",1.8,2.2,TM 132
2BJ143,Web_NP8530_16.25,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",16.1875,16.3125,TM143
2BJ143,Web_NP8530_16.25,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",29.4,37.42,TM 101
2BJ143,Web_NP8530_16.25,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2BJ143,Web_NP8530_16.25,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2BJ213,Web_NP8530_18,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",1.8,2.2,TM 132
2BJ213,Web_NP8530_18,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",17.9375,18.0625,TM143
2BJ213,Web_NP8530_18,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",29.4,37.42,TM 101
2BJ213,Web_NP8530_18,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2BJ213,Web_NP8530_18,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2BJ227,Web_NP8530_15.75,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",1.8,2.2,TM 132
2BJ227,Web_NP8530_15.75,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",15.6875,15.8125,TM143
2BJ227,Web_NP8530_15.75,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,2",29.4,37.42,TM 101
2BJ227,Web_NP8530_15.75,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2BJ227,Web_NP8530_15.75,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2BP308SLI,Lid_Aveeno Ultra-Calming MUR,NY-Analytical,Lid Inspection,Label Width,,mm,"FDA,0",52,56,TM143
2BP308SLI,Lid_Aveeno Ultra-Calming MUR,NY-Analytical,Lid Inspection,Label Length,,mm,"FDA,0",71,75,TM143
2BP308SLI,Lid_Aveeno Ultra-Calming MUR,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2BP308SLI,Lid_Aveeno Ultra-Calming MUR,NY-Analytical,Certificate of Conformance,Certificate of Conformance,CoC meets specifications (Done),,,,,COA
