Mat_MatCode,METHOD,Analyte,Component,Res_Units,Numeric_Result,Low_Release_Limit,High_Release_Limit,Rounding_Rule,SP_TestPlan,,,,,
2AA592SLI,TM208,Lid Inspection,Lid Functionality,,Meet specification,,,,Lid_NY_NP7600_22R1,,,,,
2AA592SLI,TM208,Lid Inspection,Color,,Meets the specification,,,,Lid_NY_NP7600_22R1,,,,,
2AA592SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_NY_NP7600_22R1,,,,,
2AA592SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_NY_NP7600_22R1,,,,,
2AA632,TM132,Web Thickness,Web Thickness ,mil,,3.2,3.9,"FDA,1",Web_NP8504_11.75,,,,,
2AA632,TM143,Web Measurement,Web Width,in,,11.6875,11.8125,"FDA,4",Web_NP8504_11.75,,,,,
2AA632,Dyne,Dyne Level,Dyne Level (outside film),,,36,38,"FDA,0",Web_NP8504_11.75,,,,,
2AA632,TM 101,Basis Weight,Basis Weight,#/Ream,,53.3,65.1,"FDA,1",Web_NP8504_11.75,,,,,
2AA632,TM107,Seal Strength,Seal Strength (350°F/30psi/0.5 dwell Top Jaw),g/in,,2700,,"FDA,0",Web_NP8504_11.75,,,,,
2AA632,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8504_11.75,,,,,
2AA714SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_01V,,,,,
2AA714SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_01V,,,,,
2AA714SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_01V,,,,,
2AA714SLI,COA,Certificate of Analysis,Certificate of Compliance,,CofC meets specifications,,,,Lid_01V,,,,,
2AA714SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_01V,,,,,
2AA714SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_01V,,,,,
2AA714SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_01V,,,,,
2AA922SLI,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Lid_01V,,,,,
2AD173,TM143,Web Measurement,Web Width,in,,4.4375,4.5625,"FDA,4",Web_NP5115_4.5,,,,,
2AD173,TM 101,Basis Weight,Basis Weight,#/Ream,,55.6,68,"FDA,1",Web_NP5115_4.5,,,,,
2AD173,TM107,Seal Strength,Seal Strength (325°F/40PSI/0.5ec Dwell),g/in,,1500,,"FDA,0",Web_NP5115_4.5,,,,,
2AD173,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP5115_4.5,,,,,
2AJ143SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_NY_NP7600_01C,,,,,
2AJ143SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_NY_NP7600_01C,,,,,
2AJ143SLI,AQL,Lid Inspection,AQL Sample Size,,,0,,"FDA,0",Lid_NY_NP7600_01C,,,,,
2AJ143SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_NY_NP7600_01C,,,,,
2AJ143SLI,COA,Lid Inspection,Certificate of Compliance,,CofC meets specifications,,,,Lid_NY_NP7600_01C,,,,,
2AJ143SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_NY_NP7600_01C,,,,,
2AJ143SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_NY_NP7600_01C,,,,,
2AJ143SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_NY_NP7600_01C,,,,,
2AJ170,TM132,Web Thickness,Web Thickness ,mil,,1.8,2.2,"FDA,1",Web_NP8530_11.0,,,,,
2AJ170,TM143,Web Measurement,Web Width,in,,10.9375,11.0625,"FDA,4",Web_NP8530_11.0,,,,,
2AJ170,TM 101,Basis Weight,Basis Weight,#/Ream,,29.4,37.42,"FDA,2",Web_NP8530_11.0,,,,,
2AJ170,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8530_11.0,,,,,
2AJ170,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8530_11.0,,,,,
2AJ170SLI,TM143,Lid Inspection,Lid Wall Thickness,in,,0.025,0.035,"FDA,3",Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM143,Lid Inspection,Overall closed lid height,in,,0.355,0.385,"FDA,3",Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM143,Lid Inspection,Open Lid Overall Width,in,,4.351,4.401,"FDA,3",Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM143,Lid Inspection,Weight,g,,10.5,12.5,"FDA,1",Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,COA,Certificate of Analysis,Certificate of Compliance,,CofC meets specifications,,,,Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM208,Lid Inspection,Lid Functionality,,Meet specification,,,,Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM208,Lid Inspection,Color,,Meets the specification,,,,Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_NY_NP7600_22FA,,,,,
2AJ170SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_NY_NP7600_22FA,,,,,
2AJ190SLI,TM143,Lid Inspection,Lid Wall Thickness,in,,0.025,0.035,"FDA,3",Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM143,Lid Inspection,Overall closed lid height,in,,0.355,0.385,"FDA,3",Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM143,Lid Inspection,Open Lid Overall Width,in,,4.351,4.401,"FDA,3",Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM143,Lid Inspection,Weight,g,,10.5,12.5,"FDA,1",Lid_NY_NP7600_22V,,,,,
2AJ190SLI,COA,Certificate of Analysis,Certificate of Compliance,,CofC meets specifications,,,,Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM208,Lid Inspection,Appearance,,Meet specification,,,,Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM208,Lid Inspection,Lid Functionality,,Meet specification,,,,Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM208,Lid Inspection,Color,,Meets the specification,,,,Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_NY_NP7600_22V,,,,,
2AJ190SLI,TM208,Lid Inspection,Odor,,None detectable,,,,Lid_NY_NP7600_22V,,,,,
2AJ324SLI,TM143,Lid Inspection,Lid Wall Thickness,in,,0.025,0.035,"FDA,3",Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM143,Lid Inspection,Overall closed lid height,in,,0.355,0.385,"FDA,3",Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM143,Lid Inspection,Open Lid Overall Width,in,,4.351,4.401,"FDA,3",Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM143,Lid Inspection,Weight,g,,10.5,12.5,"FDA,1",Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_NY_NP7600_22X,,,,,
2AJ324SLI,COA,Certificate of Analysis,Certificate of Compliance,,CofC meets specifications,,,,Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM208,Lid Inspection,Lid Functionality,,Meet specification,,,,Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM208,Lid Inspection,Color,,Meets the specification,,,,Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_NY_NP7600_22X,,,,,
2AJ324SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_NY_NP7600_22X,,,,,
2AP027,TM132,Web Thickness,Web Thickness ,mil,,3.06,3.74,"FDA,2",Web_NP8512_310,,,,,
2AP027,TM143,Web Measurement,Web Width,mm,,308,312,"FDA,0",Web_NP8512_310,,,,,
2AP027,TM107,Seal Strength,Seal Strength (130°C/14psi/1.0 sec dwell),g/in,,2000,,"FDA,0",Web_NP8512_310,,,,,
2AP027,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8512_310,,,,,
2AP027,TM208,Visual Inspection,Color/Copy,,Meets specifications,,,,Web_NP8512_310,,,,,
2AP075,TM143,Web Measurement,Web Width,in,,12.1425,12.2675,"FDA,4",Web_NP8542_12.205,,,,,
2AP075,TM 101,Basis Weight,Basis Weight,#/Ream,,52.53,64.21,"FDA,2",Web_NP8542_12.205,,,,,
2AP075,TM107,Seal Strength,Seal Strength (130°C/1bar/0.5ec dwell),g/mm,,25,,"FDA,0",Web_NP8542_12.205,,,,,
2AP075,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8542_12.205,,,,,
2AP087,TM143,Web Inspection,Web Width,in,,12.1425,12.2675,"FDA,4",Web_NP8550_12.205,,,,,
2AP087,TM 101,Basis Weight,Basis Weight,#/Ream,,37.8,48.2,"FDA,1",Web_NP8550_12.205,,,,,
2AP087,AQL,Web Inspection,AQL Sample Size,,,0,,"FDA,0",Web_NP8550_12.205,,,,,
2AP087,COA,Web Inspection,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8550_12.205,,,,,
2AP087,TM208,Web Inspection,Wind Direction,,Meets specification (Indicate numeric value - Done),,,,Web_NP8550_12.205,,,,,
2AP087,TM208,Visual Inspection,Artwork / Copy,,Sample(s) all meet specifications,,,,Web_NP8550_12.205,,,,,
2AP087,TM208,Web Inspection,UPC Verification,,UPC Scan is acceptable (Scan into comment section below - Done),,,,Web_NP8550_12.205,,,,,
2AP087,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8550_12.205,,,,,
2AP113,TM143,Web Measurement,Web Width,in,,10.9375,11.0625,"FDA,4",Web_NP8542_11.0,,,,,
2AP113,TM 101,Basis Weight,Basis Weight,#/Ream,,52.53,64.21,"FDA,2",Web_NP8542_11.0,,,,,
2AP113,TM107,Seal Strength,Seal Strength (130°C/1bar/0.5ec dwell),g/mm,,25,,"FDA,0",Web_NP8542_11.0,,,,,
2AP113,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8542_11.0,,,,,
2AP211,TM132,Web Thickness,Web Thickness ,mil,,3.06,3.74,"FDA,2",Web_NP8512_12.205,,,,,
2AP211,TM143,Web Measurement,Web Width,in,,12.1425,12.2675,"FDA,4",Web_NP8512_12.205,,,,,
2AP211,TM107,Seal Strength,Seal Strength (130°C/14psi/1.0 sec dwell),g/in,,2000,,"FDA,0",Web_NP8512_12.205,,,,,
2AP211,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8512_12.205,,,,,
2AP211,TM208,Visual Inspection,Color/Copy,,Meets specifications,,,,Web_NP8512_12.205,,,,,
2AP229,TM132,Web Thickness,Web Thickness ,mil,,3.06,3.74,"FDA,2",Web_NP8512_9.5,,,,,
2AP229,TM143,Web Measurement,Web Width,in,,9.4375,9.5625,"FDA,4",Web_NP8512_9.5,,,,,
2AP229,TM107,Seal Strength,Seal Strength (130°C/14psi/1.0 sec dwell),g/in,,2000,,"FDA,0",Web_NP8512_9.5,,,,,
2AP229,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8512_9.5,,,,,
2AP229,TM208,Visual Inspection,Color/Copy,,Meets specifications,,,,Web_NP8512_9.5,,,,,
2AP260,TM132,Web Thickness,Web Thickness ,mil,,2.2,2.8,"FDA,1",Web_NP8535_12.75,,,,,
2AP260,TM143,Web Measurement,Web Width,in,,12.6875,12.8125,"FDA,4",Web_NP8535_12.75,,,,,
2AP260,TM 101,Basis Weight,Basis Weight,#/Ream,,35.82,45.6,"FDA,2",Web_NP8535_12.75,,,,,
2AP260,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8535_12.75,,,,,
2AP260,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8535_12.75,,,,,
2AP806,TM132,Web Thickness,Web Thickness ,mil,,2.64,3.36,"FDA,2",Web_NP8430_310,,,,,
2AP806,TM 101,Basis Weight,Basis Weight,#/Ream,,44.88,57.12,"FDA,2",Web_NP8430_310,,,,,
2AP806,TM143,Web Measurement,Web Width,mm,,308,312,"FDA,0",Web_NP8430_310,,,,,
2AP806,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8430_310,,,,,
2AP806,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8430_310,,,,,
2AU191,TM143,Web Measurement,Web Width,in,,7.4375,7.5625,"FDA,4",Web_NP5115_7.5,,,,,
2AU191,TM 101,Basis Weight,Basis Weight,#/Ream,,55.6,68,"FDA,1",Web_NP5115_7.5,,,,,
2AU191,TM107,Seal Strength,Seal Strength (325°F/40PSI/0.5ec Dwell),g/in,,1500,,"FDA,0",Web_NP5115_7.5,,,,,
2AU191,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP5115_7.5,,,,,
2AU252,TM102,Caliper,Caliper,mil,,3.515,3.515,"FDA,3",Web_NP3459_8.0,,,,,
2AU252,TM143,Web Measurement,Web Width,in,,7.9375,8.0625,"FDA,4",Web_NP3459_8.0,,,,,
2AU252,TM 101,Basis Weight,Basis Weight,Lb/Ream,,57.56,70.4,"FDA,2",Web_NP3459_8.0,,,,,
2AU252,TM107,Seal Strength,Seal Strength (290°F/40psi/0.5 sec dwell),g/in,,7500,,"FDA,0",Web_NP3459_8.0,,,,,
2AU252,TM208,Visual Inspection,Appearance,,Meets specifications,,,,Web_NP3459_8.0,,,,,
2AU252,TM208,Visual Inspection,Color/Copy,,Meets specifications,,,,Web_NP3459_8.0,,,,,
2AU252,COA,Certificate of Analysis,Certificate of Analysis,,,,,,Web_NP3459_8.0,,,,,
2AU555,TM143,Web Measurement,Core ID,in,,2.9375,3.0625,"FDA,4",Web_NP3460_7.5,,,,,
2AU555,TM102,Caliper,Caliper,mil,,3.995,3.995,"FDA,4",Web_NP3460_7.5,,,,,
2AU555,TM143,Web Measurement,Web Width,in,,7.4375,7.5625,"FDA,4",Web_NP3460_7.5,,,,,
2AU555,TM143,Web Measurement,Roll OD,in,,14.9375,15.0625,"FDA,4",Web_NP3460_7.5,,,,,
2AU555,Dyne,Dyne Level,Dyne Level (outside film),,,,,"FDA,0",Web_NP3460_7.5,,,,,
2AU555,TM 101,Basis Weight,Basis Weight,Lb/Ream,,66.6,81.4,"FDA,1",Web_NP3460_7.5,,,,,
2AU555,TM107,Seal Strength,Seal Strength (290°F/40psi/0.5 sec dwell),g/in,,5850,,"FDA,0",Web_NP3460_7.5,,,,,
2AU555,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP3460_7.5,,,,,
2AU555,TM208,Visual Inspection,Appearance,,Meets specifications,,,,Web_NP3460_7.5,,,,,
2AU555,TM208,Visual Inspection,Color/Copy,,Meets specifications,,,,Web_NP3460_7.5,,,,,
2BA585SLI,TM143,Lid Inspection,Label Width,mm,,52,56,"FDA,0",Lid_19AB,,,,,
2BA585SLI,TM143,Lid Inspection,Label Length,mm,,71,75,"FDA,0",Lid_19AB,,,,,
2BA585SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_19AB,,,,,
2BA585SLI,COA,Certificate of Analysis,Certificate of Conformance,,CoC meets specifications,,,,Lid_19AB,,,,,
2BA585SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_19AB,,,,,
2BA585SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_19AB,,,,,
2BA585SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_19AB,,,,,
2BA972,TM132,Web Thickness,Web Thickness ,mil,,2.86,3.64,"FDA,2",Web_NP8540_13.5,,,,,
2BA972,TM143,Web Measurement,Web Width,in,,13.4375,13.5625,"FDA,4",Web_NP8540_13.5,,,,,
2BA972,TM 101,Basis Weight,Basis Weight,#/Ream,,45.4,57.8,"FDA,1",Web_NP8540_13.5,,,,,
2BA972,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8540_13.5,,,,,
2BA972,COA,Certificate of Analysis,Certificate of Analysis,,,,,,Web_NP8540_13.5,,,,,
2BC801,TM143,Web Measurement,Web Width,in,,5.9375,6.0625,"FDA,4",Web_NP3870_6.0,,,,,
2BC801,TM 101,Basis Weight,Basis Weight,#/Ream,,81,99,"FDA,1",Web_NP3870_6.0,,,,,
2BC801,TM107,Seal Strength,Seal Strength (350°F/40psi/1.0 sec dwell),g/in,,5000,,"FDA,0",Web_NP3870_6.0,,,,,
2BC801,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP3870_6.0,,,,,
2BH592,TM132,Web Thickness,Web Thickness ,mil,,3.9,4.7,"FDA,1",Web_NP3895_6.0,,,,,
2BH592,TM143,Web Measurement,Web Width,in,,5.9375,6.0625,"FDA,4",Web_NP3895_6.0,,,,,
2BH592,TM 101,Basis Weight,Basis Weight,#/3000sqft,,65.3,79.8,"FDA,1",Web_NP3895_6.0,,,,,
2BH592,TM107,Seal Strength,Seal Strength (250°F/30psi/0.5 sec dwell),g/in,,2270,,"FDA,0",Web_NP3895_6.0,,,,,
2BH592,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP3895_6.0,,,,,
2BJ123,TM143,Web Measurement,Web Width,in,,10.9375,11.0625,"FDA,4",Web_NP8550_11,,,,,
2BJ123,TM 101,Basis Weight,Basis Weight,#/Ream,,37.8,48.2,"FDA,1",Web_NP8550_11,,,,,
2BJ123,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8550_11,,,,,
2BJ123,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8550_11,,,,,
2BJ143,TM132,Web Thickness,Web Thickness ,mil,,1.8,2.2,"FDA,1",Web_NP8530_16.25,,,,,
2BJ143,TM143,Web Measurement,Web Width,in,,16.1875,16.3125,"FDA,4",Web_NP8530_16.25,,,,,
2BJ143,TM 101,Basis Weight,Basis Weight,#/Ream,,29.4,37.42,"FDA,2",Web_NP8530_16.25,,,,,
2BJ143,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8530_16.25,,,,,
2BJ143,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8530_16.25,,,,,
2BJ213,TM132,Web Thickness,Web Thickness ,mil,,1.8,2.2,"FDA,1",Web_NP8530_18,,,,,
2BJ213,TM143,Web Measurement,Web Width,in,,17.9375,18.0625,"FDA,4",Web_NP8530_18,,,,,
2BJ213,TM 101,Basis Weight,Basis Weight,#/Ream,,29.4,37.42,"FDA,2",Web_NP8530_18,,,,,
2BJ213,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8530_18,,,,,
2BJ213,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8530_18,,,,,
2BJ227,TM132,Web Thickness,Web Thickness ,mil,,1.8,2.2,"FDA,1",Web_NP8530_15.75,,,,,
2BJ227,TM143,Web Measurement,Web Width,in,,15.6875,15.8125,"FDA,4",Web_NP8530_15.75,,,,,
2BJ227,TM 101,Basis Weight,Basis Weight,#/Ream,,29.4,37.42,"FDA,2",Web_NP8530_15.75,,,,,
2BJ227,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8530_15.75,,,,,
2BJ227,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8530_15.75,,,,,
2BP308SLI,TM143,Lid Inspection,Label Width,mm,,52,56,"FDA,0",Lid_Aveeno Ultra-Calming MUR,,,,,
2BP308SLI,TM143,Lid Inspection,Label Length,mm,,71,75,"FDA,0",Lid_Aveeno Ultra-Calming MUR,,,,,
2BP308SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_Aveeno Ultra-Calming MUR,,,,,
2BP308SLI,COA,Certificate of Analysis,Certificate of Conformance,,CoC meets specifications,,,,Lid_Aveeno Ultra-Calming MUR,,,,,
2BP308SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_Aveeno Ultra-Calming MUR,,,,,
2BP308SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_Aveeno Ultra-Calming MUR,,,,,
2BP308SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_Aveeno Ultra-Calming MUR,,,,,
2BQ084LI,TM143,Lid Inspection,Orifice Flap Thickness,in,,0.018,0.028,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Lid Wall Thickness,in,,0.035,0.045,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Insert Fin Gap,in,,0.065,0.075,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Pop-Up Hole Outer Diameter,in,,0.16,0.17,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Overall Lid Height,in,,1.472,1.492,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM 143,Flip Lid Force,Flip Lid Force,lb,,0.75,,"FDA,2",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Bead Diameter,in,,4.847,4.867,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Lid Inside Diameter,in,,4.917,4.937,"FDA,3",Lid_11A,,,,,
2BQ084LI,TM143,Lid Inspection,Weight,g,,32,42,"FDA,1",Lid_11A,,,,,
2BQ084LI,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Lid_11A,,,,,
2BQ084LI,TM208,Lid Inspection,Lid Functionality,,Lid fits with a tight seal on,,,,Lid_11A,,,,,
2BQ084LI,TM208,Lid Inspection,Appearance,,Meets Specifications,,,,Lid_11A,,,,,
